Position,Track,Artist,AlbumArt
1,I Like The Way You Kiss Me,Artemas
2,Espresso,Sabrina Carpenter
3,Not Like Us,Kendrick Lamar
4,A Bar Song (Tipsy),Shaboozey
5,MILLION DOLLAR BABY,Tommy Richman
6,Saturn,SZA
7,Lunch,Billie Eilish
8,Lose Control,Teddy Swims
9,Too Sweet,Hozier
10,Beautiful Things,Benson Boone
11,Fortnight (feat. Post Malone),Taylor Swift
12,Not My Fault (with Reneé Rapp),Meghan Trainor
13,Good Luck,Leah Kate
14,Enough (with Cardi B),Brandy Haze
15,Where She Goes,Bad Bunny
16,Carnival (with Playboi Carti),Yeat
17,Sounds Familiar,Bryson Tiller
18,On My Mama,Victoria Monét
19,Stick Season,Noah Kahan
20,Paint The Town Red,Doja Cat
21,Good Day,Reneé Rapp
22,Last Time I Saw You,Nicki Minaj
23,BIN,Tyla
24,Overdrive,Post Malone
25,THE SCOTTS,THE SCOTTS
26,TRUSTFALL,P!nk
27,GREEDY,Tate McRae
28,Make You Mine,Public
29,Good Luck,Beyoncé
30,LOST!,NF
31,Cruel Summer,Taylor Swift
32,Water,Tyla
33,10:35,Tiësto
34,Greedy,Sabrina Carpenter
35,Body Better,Maisie Peters
36,My Love Mine All Mine,Mitski
37,What Was I Made For?,Billie Eilish
38,Dance The Night,Dua Lipa
39,Get Him Back!,Olivia Rodrigo
40,Calm Down,Rema
41,Boys A Liar Pt. 2,Ice Spice
42,Flowers,Miley Cyrus
43,CUFF IT,Beyoncé
44,One Of The Girls,The Weeknd
45,Die For You,The Weeknd
46,Bloody Mary,Lady Gaga
47,As It Was,Harry Styles
48,Save Your Tears,The Weeknd
49,Until I Found You,Stephen Sanchez
50,Anti-Hero,Taylor Swift
